id,gender ,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,result,,,,,,,,,,,,,,
151,M,0,1,1,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
152,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
153,F,0,0,0,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
154,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
155,F,1,1,1,0,1,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,
156,M,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
157,F,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
158,M,0,1,1,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,
159,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
160,M,0,1,1,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
161,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
162,M,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
163,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
164,F,0,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
165,M,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
166,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
167,F,0,1,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
168,F,1,0,0,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,
169,M,0,1,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
170,F,0,1,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
171,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
172,F,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
173,F,0,1,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
174,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
175,F,0,1,1,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
176,M,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
177,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
178,M,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
179,M,0,1,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
180,F,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
181,F,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
182,F,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
183,M,0,1,0,0,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
184,F,0,1,1,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
185,M,0,1,1,0,1,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
186,M,1,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
187,M,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
188,F,0,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
189,F,0,1,1,0,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,
190,M,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,
191,F,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,
192,F,0,1,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
193,F,0,1,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,
194,F,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
195,M,0,1,0,0,1,1,0,0,1,0,0,0,1,,,,,,,,,,,,,,
